doc_id,sent_id,original_sent,simplified_sent
1,0,"Álex de la Iglesia , Premio Nacional de Cine "," Álex de la Iglesia , Premio Nacional de Cine "
1,1,"Álex de la Iglesia , Premio Nacional de Cine ", Álex de la Iglesia gana el Premio Nacional de Cine . 
1,2,"El realizador y presidente de la Academia de Cine Álex de la Iglesia fue galardonado con el Premio Nacional de la Cinematografía , que concede el Ministerio de Cultura , "" por su incuestionable trayectoria profesional innovadora y transgresora , que ha enriquecido el lenguaje de nuestro cine "" . ", Álex de la Iglesia es director de cine y presidente de la Real Academia de cine .  El Ministerio de Cultura le ha dado el Premio Nacional de Cine .  El Ministerio le ha dado el premio por su carrera profesional .  También le ha dado el premio por hacer un cine original y por su buen trabajo en la Academia de Cine . 
1,3,"Según el departamento que dirige Angeles González-Sinde , De la Iglesia también merece este galardón dotado con 30.000 euros por "" su papel a el frente de la Academia de las Artes y las Ciencias Cinematográficas de España , y su clara labor a favor de el consenso y acercamiento entre todos los que forman parte de el cine español y de ellos con la sociedad "" . ",
1,4,"El Premio de la Cinematografía y de las Artes Audiovisuales está destinado a recompensar la aportación más sobresaliente en el ámbito cinematográfico español puesta de manifiesto a través de una obra hecha pública durante 2009 , o de una labor profesional desarrollada durante ese mismo año . ", El Premio Nacional de Cine se da a la mejor película o trabajo de el año 2009 . 
1,5,En casos excepcionales también podrá otorgar se como reconocimiento a una trayectoria profesional . ,
2,0,ABRE EN MADRID SU PRIMERA SUCURSAL EL MAYOR BANCO DE CHINA Y DEL MUNDO., El banco más importante de China y del mundo abre una oficina en Madrid.  El Banco Industrial y Comercial de China es el banco más grande e importante del mundo. 
2,1,"El ministro de Industria, Turismo y Comercio, Miguel Sebastián, asistió en el Círculo de Bellas Artes a la inauguración de la primera sucursal en España del Industrial and Comercial Bank of China (ICBC), el banco más grande del mundo en capitalización bursátil. ", El ministro de Industria asistió a la apertura de la primera oficina en Madrid de este banco. 
2,2,"Acompañó al ministro, que acudió en representación del Gobierno español, el presidente y director ejecutivo del banco, Jianqing Jiang, quien ejerció de anfitrión de las distintas personalidades que de los ámbitos político y financiero, tanto de España como de China, asistieron a este acto."," El presidente y director del Banco en China, Jianqing Jiang,  acompañó al ministro de Industria durante la apertura de la oficina de Madrid.  También asistieron a este acto otras personas de la política y la economía española. "
2,3,"El ICBC ha abierto ya 203 sucursales en un total de 28 países de todo el mundo, también en España desde este lunes."," El Banco de China tiene oficinas en muchos países del mundo.  Ahora, también tiene una oficina en España. "
2,4,"La sucursal, que ocupa una superficie de 1.100 metros cuadrados, se ubica en el número 3 del Paseo de Recoletos de Madrid.", La oficina del Banco de China en Madrid está en el Paseo de Recoletos.
2,5,"Como muestra de su envergadura, según datos de 2009, el ICBC tenía en nómina a un total de 386.723 empleados, sólo en China, en un total de 16.232 sucursales.",
3,0,"EL MEDIO AMBIENTE FINALIZA 2010 EN PEOR SITUACIÓN QUE EN 2009, SEGÚN LOS ECOLOGISTAS.", El medio ambiente español está peor en 2010 que en 2009. 
